model,scenario_id,phase,description,dataset_rows,workload,concurrency,total_requests,workers,queue_size,driver,repeats,success_mean,success_stddev,rejected_mean,rejected_stddev,error_mean,error_stddev,throughput_rps_mean,throughput_rps_stddev,avg_ms_mean,avg_ms_stddev,p95_ms_mean,p95_ms_stddev,p99_ms_mean,p99_ms_stddev,max_ms_mean,max_ms_stddev,cpu_util_percent_mean,cpu_util_percent_stddev,max_rss_kb_mean,max_rss_kb_stddev,voluntary_ctx_mean,involuntary_ctx_mean
serial,quick_100k_insert-only_c32,quick,"100k rows, insert-only, concurrency 32",100000,insert-only,32,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5891.286,573.126,4.766,0.590,8.599,4.136,10.322,5.732,11.862,6.673,45.975,1.808,6129254.400,16292.724,94.400,200.900
serial,quick_100k_insert-only_c512,quick,"100k rows, insert-only, burst concurrency 512",100000,insert-only,512,512,8,512,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4716.945,1579.005,22.469,62.850,107.856,327.736,109.158,328.113,110.469,329.125,41.868,11.174,6114508.800,20140.402,170.200,251.100
serial,quick_100k_mixed_c1,quick,"100k rows, mixed, concurrency 1",100000,mixed,1,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4590.724,539.764,0.214,0.024,0.373,0.059,0.714,0.272,3.735,3.735,41.608,1.290,6114508.800,15055.857,1000.200,272.100
serial,quick_100k_mixed_c128,quick,"100k rows, mixed, concurrency 128",100000,mixed,128,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5489.919,645.470,5.120,3.072,12.883,11.820,15.223,12.423,17.529,12.421,42.847,1.939,6111232.000,23170.475,152.600,189.800
serial,quick_100k_mixed_c32,quick,"100k rows, mixed, concurrency 32",100000,mixed,32,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,6050.327,692.417,4.690,0.575,9.041,3.808,11.469,4.916,13.179,5.382,43.580,2.356,6119424.000,11585.238,106.900,179.900
serial,quick_100k_mixed_c512,quick,"100k rows, mixed, burst concurrency 512",100000,mixed,512,512,8,512,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,5068.144,494.749,3.449,1.876,8.244,7.936,10.617,8.065,11.967,8.059,42.401,2.145,6119424.000,17696.743,183.800,235.100
serial,quick_100k_select-only_c1,quick,"100k rows, select-only, concurrency 1",100000,select-only,1,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4751.579,500.646,0.206,0.025,0.339,0.083,0.596,0.352,2.777,1.273,39.071,1.857,6055526.400,19231.339,857.400,370.500
serial,quick_100k_select-only_c128,quick,"100k rows, select-only, concurrency 128",100000,select-only,128,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4538.031,302.967,5.525,0.591,11.097,1.726,13.521,2.325,15.703,2.901,37.074,2.317,6050611.200,17356.389,134.200,246.000
serial,quick_100k_select-only_c32,quick,"100k rows, select-only, concurrency 32",100000,select-only,32,512,4,128,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4951.712,298.373,5.713,0.396,9.694,1.686,12.959,4.164,15.845,5.618,37.507,1.558,6060441.600,18030.673,112.100,267.900
serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,10,512.000,0.000,0.000,0.000,0.000,0.000,4351.126,303.066,3.700,0.221,6.340,1.052,8.450,2.349,10.348,2.991,34.487,1.487,6042419.200,10362.151,160.100,182.400
thread_per_request,async_1000000_mixed_c2000,async,"1,000,000 rows, mixed, async burst 2000",1000000,mixed,2000,2000,8,512,async,10,527.200,20.746,1472.800,20.746,0.000,0.000,1892.096,715.390,180.329,6.850,221.985,8.268,305.199,247.283,384.860,328.703,73.891,11.499,58574438.400,38190.304,1652.300,2893.400
thread_per_request,async_1000000_mixed_c5000,async,"1,000,000 rows, mixed, async burst 5000",1000000,mixed,5000,5000,8,512,async,10,527.100,12.741,4472.900,12.741,0.000,0.000,713.578,135.400,501.261,18.094,626.962,15.819,634.601,15.059,749.861,178.544,61.480,5.259,58610483.200,38656.057,3575.700,3519.800
thread_per_request,async_100000_mixed_c2000,async,"100,000 rows, mixed, async burst 2000",100000,mixed,2000,2000,8,512,async,10,530.700,15.966,1469.300,15.966,0.000,0.000,1332.854,858.014,185.537,7.957,232.550,13.544,467.057,371.003,622.547,403.832,27.628,13.542,18851430.400,37994.555,1669.300,2065.300
thread_per_request,async_100000_mixed_c5000,async,"100,000 rows, mixed, async burst 5000",100000,mixed,5000,5000,8,512,async,10,540.000,33.103,4460.000,33.103,0.000,0.000,643.563,118.425,517.059,27.573,653.240,37.117,738.000,141.540,843.491,171.564,20.446,3.251,18862899.200,123829.034,3681.000,2681.600
