repeat_index,model,scenario_id,phase,description,dataset_rows,workload,concurrency,total_requests,workers,queue_size,driver,success_requests,rejected_requests,error_requests,throughput_rps,avg_ms,p95_ms,p99_ms,max_ms,real_seconds,user_seconds,sys_seconds,cpu_util_percent,max_rss_kb,voluntary_ctx,involuntary_ctx
1,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4658.537,3.557,5.649,6.643,8.423,0.310,0.100,0.010,35.484,6029312.0,163.0,164.0
2,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4087.686,3.758,6.573,9.291,10.988,0.330,0.100,0.010,33.333,6045696.0,162.0,256.0
3,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4582.657,3.393,5.213,6.478,7.298,0.310,0.100,0.010,35.484,6045696.0,164.0,155.0
4,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4896.813,3.373,5.239,6.463,8.300,0.310,0.100,0.010,35.484,6045696.0,162.0,112.0
5,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4339.078,3.800,5.823,7.039,7.964,0.330,0.110,0.010,36.364,6045696.0,157.0,160.0
6,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4280.422,3.558,6.046,7.991,9.634,0.330,0.100,0.010,33.333,6029312.0,156.0,194.0
7,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4075.023,3.791,7.357,10.608,13.019,0.330,0.100,0.010,33.333,6045696.0,174.0,154.0
8,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4010.880,3.916,7.161,9.756,11.743,0.340,0.100,0.010,32.353,6045696.0,159.0,234.0
9,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4521.128,3.813,5.844,6.672,8.990,0.330,0.110,0.010,36.364,6062080.0,144.0,200.0
10,serial,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4059.040,4.043,8.493,13.562,17.113,0.330,0.100,0.010,33.333,6029312.0,160.0,195.0
1,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,3983.094,2.656,5.214,7.403,11.706,0.330,0.110,0.030,42.424,6275072.0,1287.0,889.0
2,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4408.930,2.527,4.528,6.154,7.225,0.330,0.110,0.030,42.424,6275072.0,1390.0,867.0
3,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4202.293,2.767,5.217,6.521,7.811,0.330,0.110,0.030,42.424,6291456.0,1376.0,862.0
4,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4009.600,2.972,5.425,7.787,10.610,0.330,0.100,0.030,39.394,6275072.0,1322.0,811.0
5,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4174.229,2.780,5.042,6.178,6.710,0.340,0.110,0.030,41.176,6242304.0,1332.0,795.0
6,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4330.045,2.688,4.959,5.923,6.677,0.330,0.110,0.030,42.424,6225920.0,1338.0,819.0
7,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,3877.138,3.109,6.286,9.508,11.947,0.330,0.100,0.030,39.394,6242304.0,1321.0,858.0
8,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,3983.666,2.587,4.978,5.878,6.531,0.340,0.110,0.030,41.176,6291456.0,1294.0,943.0
9,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4446.926,2.779,4.951,5.678,8.060,0.330,0.110,0.030,42.424,6307840.0,1359.0,734.0
10,thread_pool,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,3895.447,3.216,6.283,9.752,14.017,0.330,0.110,0.030,42.424,6307840.0,1322.0,903.0
1,thread_per_request,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,3882.767,3.101,6.315,7.562,8.641,0.340,0.110,0.040,44.118,6520832.0,1315.0,1174.0
2,thread_per_request,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,4356.023,2.835,5.155,6.638,8.434,0.330,0.110,0.040,45.455,6373376.0,1372.0,988.0
3,thread_per_request,quick_100k_select-only_c512,quick,"100k rows, select-only, burst concurrency 512",100000,select-only,512,512,8,512,thread,512,0,0,3926.280,2.888,5.738,7.598,9.033,0.330,0.110,0.040,45.455,6471680.0,1308.0,1108.0
