repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
1,100000,8,256,mixed,5000,264,4736,0,558.569,429.093,541.149,552.162,{}
2,100000,8,256,mixed,5000,264,4736,0,580.237,445.474,556.165,566.396,{}
3,100000,8,256,mixed,5000,264,4736,0,559.377,432.452,543.667,553.478,{}
4,100000,8,256,mixed,5000,264,4736,0,575.318,450.918,560.280,569.477,{}
5,100000,8,256,mixed,5000,264,4736,0,574.991,438.937,560.128,568.989,{}
6,100000,8,256,mixed,5000,264,4736,0,581.310,453.811,565.504,575.588,{}
7,100000,8,256,mixed,5000,264,4736,0,565.987,435.082,549.982,560.168,{}
8,100000,8,256,mixed,5000,264,4736,0,582.128,456.833,566.445,575.729,{}
9,100000,8,256,mixed,5000,264,4736,0,561.226,435.356,546.256,555.259,{}
10,100000,8,256,mixed,5000,264,4736,0,576.812,448.787,560.877,570.552,{}
1,100000,8,512,mixed,5000,520,4480,0,582.264,442.553,565.641,575.498,{}
2,100000,8,512,mixed,5000,520,4480,0,587.818,457.397,570.873,580.751,{}
3,100000,8,512,mixed,5000,520,4480,0,599.962,470.053,584.207,592.925,{}
4,100000,8,512,mixed,5000,520,4480,0,581.838,455.181,565.386,575.145,{}
5,100000,8,512,mixed,5000,520,4480,0,585.379,448.695,568.532,578.586,{}
6,100000,8,512,mixed,5000,520,4480,0,590.066,462.860,574.219,583.238,{}
7,100000,8,512,mixed,5000,520,4480,0,569.582,438.296,552.911,563.019,{}
8,100000,8,512,mixed,5000,520,4480,0,586.168,459.676,568.571,578.998,{}
9,100000,8,512,mixed,5000,520,4480,0,560.744,434.474,544.231,553.701,{}
10,100000,8,512,mixed,5000,520,4480,0,599.910,471.711,582.767,593.323,{}
1,100000,16,32,mixed,5000,48,4952,0,580.830,449.473,543.867,575.743,{}
2,100000,16,32,mixed,5000,48,4952,0,590.281,459.581,554.891,585.012,{}
3,100000,16,32,mixed,5000,48,4952,0,559.997,427.764,526.527,554.089,{}
4,100000,16,32,mixed,5000,48,4952,0,575.964,452.440,543.390,571.157,{}
5,100000,16,32,mixed,5000,48,4952,0,575.249,438.496,543.966,569.689,{}
6,100000,16,32,mixed,5000,185,4815,0,3990.396,463.579,542.324,3981.902,{}
7,100000,16,32,mixed,5000,48,4952,0,564.766,432.449,532.156,559.932,{}
8,100000,16,32,mixed,5000,48,4952,0,581.778,452.199,549.651,576.294,{}
9,100000,16,32,mixed,5000,48,4952,0,578.008,442.573,537.625,572.556,{}
10,100000,16,32,mixed,5000,48,4952,0,612.641,480.244,583.072,606.541,{}
1,100000,16,64,mixed,5000,80,4920,0,561.353,428.356,522.196,556.083,{}
2,100000,16,64,mixed,5000,80,4920,0,573.091,440.751,541.067,568.153,{}
3,100000,16,64,mixed,5000,80,4920,0,600.027,468.218,559.401,585.108,{}
4,100000,16,64,mixed,5000,80,4920,0,564.733,437.428,533.030,559.160,{}
